,Title,Company Name,Location,Date,Job Type,Seneiority Level,Company Size,Industry,About The Job,Pay Range,Job URL
249,Early Careers Program,DXC Technology,"Cairo, Cairo, Egypt",3 days ago,"
Full-time "," Entry level
","
10,001+ employees "," Information Technology & Services
","About the job Requirements Bachelor's degree in Computer Science or Information Technology related field (2019/2020) Very Good communication skills. Excellent Command of English Language Good creative thinking, problem solving, planning, time-management, project management and organization skills to balance and prioritize work Ability to handle multiple tasks simultaneously and switch between tasks quickly Willingness to travel",Pay range unavailable,https://www.linkedin.com/jobs/view/2628540858
250,Refrigeration Journeyman,CoolSys - Refrigeration and HVAC Systems,"Alexandria, Alexandria, Egypt",3 days ago,"
Full-time "," Entry level
","
1,001-5,000 employees "," Construction
","About the job Job Summary Job Description This position is responsible for installation of refrigeration systems following customer specifications, applicable building code and proper piping practices. Essential Duties And Responsibilities Provides support on construction job by piping cooler boxes and refrigeration cases, including electrical wiring as required to complete the project. Provides the required installation of pipe hangers as directed by the foreman. Provides construction support by welding and slip hosing copper pipes, and assists the foreman as needed on the job. Provides support by handing cooler box coils and installing new supermarket refrigeration systems or remodeling existing supermarket refrigeration systems. Perform other duties and projects as assigned. Essential Knowledge, Skills, Abilities, And Competencies Knowledge of electrical systems and ability to wire installations. Knowledge of carpentry. Knowledge of refrigeration systems and piping of refrigeration equipment. Knowledge of plumbing and pipe fittings, and ability to pipe refrigeration equipment. Knowledge of and ability to read blueprints on refrigeration, electrical and plumbing. Ability to hang evaporation coils and install overhead hangers. Ability to use hand and power tools and good mechanical skills. Knowledge of jobsite safety, ability to oversee work activities to ensure safe work practices and safety rule compliance. Ability to work with minimal supervision. Education, Experience And/Or Licenses High school diploma or GED equivalent work experience and trade or technical school classes 5+ years of experience in the construction industry preferred and hands on field experience in commercial refrigeration, electrical and/or fixtures construction EPA Certification (Type II) Experience in copper brazing, market remodeling Good driving record. Pre-employment background screening (criminal and DMV) as well as post-offer drug testing (including for marijuana) is required for all positions. The Company will consider qualified applicants with criminal histories in a manner consistent with federal law, state law, or local ordinance. CoolSys is an EOE/M/F/Vet/Disability employer. Employment Type Regular Location City Alexandria Location State VA Openings Location City Alexandria Location State VA Openings",Pay range unavailable,https://www.linkedin.com/jobs/view/2713088971
251,Refrigeration Journeyman,CoolSys - Refrigeration and HVAC Systems,"Alexandria, Alexandria, Egypt",3 days ago,"
Full-time "," Entry level
","
1,001-5,000 employees "," Construction
","About the job Job Description CoolSys is the parent company of market-leading operating businesses that provide a full spectrum of best-in-class service experiences and solutions to the retail, commercial, and industrial refrigeration and HVAC industries. Our valued and dedicated employees are at the heart of our continued growth and success. We invite you to be part of that growth! BRR Refrigeration is hiring. Job Summary This position is responsible for installation of refrigeration systems following customer specifications, applicable building code and proper piping practices. Essential Duties And Responsibilities Provides support on construction job by piping cooler boxes and refrigeration cases, including electrical wiring as required to complete the project. Provides the required installation of pipe hangers as directed by the foreman. Provides construction support by welding and slip hosing copper pipes, and assists the foreman as needed on the job. Provides support by handing cooler box coils and installing new supermarket refrigeration systems or remodeling existing supermarket refrigeration systems. Perform other duties and projects as assigned. Essential Knowledge, Skills, Abilities, And Competencies Knowledge of electrical systems and ability to wire installations. Knowledge of carpentry. Knowledge of refrigeration systems and piping of refrigeration equipment. Knowledge of plumbing and pipe fittings, and ability to pipe refrigeration equipment. Knowledge of and ability to read blueprints on refrigeration, electrical and plumbing. Ability to hang evaporation coils and install overhead hangers. Ability to use hand and power tools and good mechanical skills. Knowledge of jobsite safety, ability to oversee work activities to ensure safe work practices and safety rule compliance. Ability to work with minimal supervision. Education, Experience And/Or Licenses High school diploma or GED equivalent work experience and trade or technical school classes 5+ years of experience in the construction industry preferred and hands on field experience in commercial refrigeration, electrical and/or fixtures construction EPA Certification (Type II) Experience in copper brazing, market remodeling Good driving record. Employment Type Regular Location City Alexandria Location State VA Openings Location City Alexandria Location State VA Openings",Pay range unavailable,https://www.linkedin.com/jobs/view/2713087984
252,Senior Sales Consultant,C&A,"Cairo, Egypt",3 days ago,"
Full-time
",,,,"About the job Cultivating solid relationships with major customers to ensure a continuous flow of sales revenue. Identifying promising prospects through cold-calling, networking, and customer referrals. Ensuring that all sales administration and customer service activities run smoothly. Providing overall guidance to newly-recruited Sales Representatives. Maintaining accurate records of the total number of sales made, potential and existing customers, as well as sales employee performance evaluations. Assisting newly-recruited or less experienced Sales Representatives in answering technical questions posed by customers. Analyzing sales metrics to determine whether current sales strategies are effective. Conducting in-depth research on competitors' products, pricing, and market success to gain insight into customer preferences and interests.",Pay range unavailable,https://www.linkedin.com/jobs/view/2707832468
253,Group E-Commerce Lead,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group E-Commerce Lead, to join the CCBA Growth Office team. The successful applicant will be reporting into the Group Head: New Business Development. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713078940
254,Group Insights and Studies Lead,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group Insights and Studies Lead, to join the CCBA Growth Office team. The successful applicant will be reporting into Group Head: Knowledge & Insights. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713078941
255,Group Emerging Categories Lead - Liquor,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group Emerging Categories Lead - Liquor, to join the CCBA Growth Office team. The successful applicant will be reporting into Group Head: New Business Development. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713083241
256,Group External Commercial Data Specialist,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Entry level
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group External Commercial Data Specialist, to join the CCBA Growth Office team. The successful applicant will be reporting into the Group Big Data Analytics Lead. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713081740
257,Group Strategic Planning and Performance Lead,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group Strategic Planning and Performance Lead to join the CCBA Growth Office team. The successful applicant will be reporting into the Group Head: Strategy & Performance. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713081739
258,Group Customer Service Development Lead,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group Customer Service Development Lead, to join the CCBA Growth Office team. The successful applicant will be reporting into Group Head: Commercial Enablers & Capabilities. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713078934
259,Group Revenue Growth Manager – Where To Play (WTP),Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group Revenue Growth Manager – Where To Play (WTP), to join the CCBA Growth Office team. The successful applicant will be reporting into the Group Head: Strategy & Performance. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better-shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713078936
260,Group Visualisation and Reporting Specialist,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Entry level
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group Visualisation and Reporting Specialist, to join the CCBA Growth Office team. The successful applicant will be reporting into the Group Big Data Analytics Lead. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713083245
261,Group Emerging Categories Lead - Coffee,Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Group Emerging Categories Lead - Coffee, to join the CCBA Growth Office team. The successful applicant will be reporting into Group Head: New Business Development. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713084100
262,"Category Manager: Fleet, Freight and Logistics",Coca-Cola Beverages South Africa (CCBSA),"Qesm 15 of May, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
5,001-10,000 employees "," Food & Beverages
","About the job Coca-Cola Beverages Africa (CCBA) presents an exciting opportunity for an experienced Category Manager, to join the Group Fleet, Freight and Logistics team in the procurement division in CCBA. The successful applicant will be reporting into the Senior Category Manager. The role will lead and manage strategic sourcing activities for the allocated categories and it will lead any legal and contractual discussions and implementation with all internal and external stakeholders for their respective categories. Coca-Cola Beverages Africa is the largest African Coca-Cola bottler, accounting for 40 percent of all Coca-Cola volumes on the continent. CCBA is a NARTD market leader in Africa. CCBA has an extensive footprint in Africa, employing over 16 000 employees. CCBA vision is to Refresh Africa every day and make the continent a better place for all, growing successfully as business and creating a better shared future for our people, customers, consumers, communities, planet and shareholders.",Pay range unavailable,https://www.linkedin.com/jobs/view/2713084106
263,Support Engineer,Microsoft,"Cairo, Cairo, Egypt",3 days ago,"
Full-time
",,"
10,001+ employees "," Computer Software
","About the job Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. You can help us to achieve our mission. With over 12,000 employees worldwide, the Microsoft Customer Experience & Success (CE&S) organization is responsible for the strategy, design, and implementation of the Microsoft end-to-end customer experience. This newly expanded organization reflects the Microsoft ambition to be known as a customer experience company, ensuring our Microsoft mission to empower every person and every organization on the planet to achieve more is enabled by delighting customers and consistently exceeding their expectations in every interaction through a connected customer experience. Microsoft has a tremendous opportunity to exceed customer expectations and drive greater customer loyalty and trust, which leads to greater satisfaction, retention, and growth. The CE&S organization is looking for people with a passion for delivering customer success to help us build a future where customers come to us, not only because we provide industry-leading products and services, but also because we provide a differentiated and connected customer experience that is rooted in our commitment to delivering on customer outcomes. Support Engineers (SE) serve as frontline technical resources for Microsoft customers and partners via phone, email or web. They deliver unique value by collaboratively and reactively solving customer problems, providing proactive support advice, contributing to product quality and enhancements and creating self-help assets to broadly reach more customers. You will be part of a team responsible for providing an outstanding technical support experience to our business customers. From problem identification to full resolution, you will own and manage the customer experience over the phone and Web. When needed, you will collaborate with others to engage subject matter experts, Engineering (Product Groups) or Management. Your day-to-day job will be about providing both technical expertise (either on your own or by involving your colleagues) and about being an excellent communicator and a service oriented professional. You will be given the opportunity to become a subject matter expert in one or more areas and receive guidance and mentorship from your colleagues. The successful candidate has the drive and intellectual curiosity to resolve the most difficult technical customer issues, often through collaboration with other technical specializations; will be a technical resource for the team regarding case reviews, troubleshooting and effective customer interaction and will interface with various levels of management within customers, Partners, and Microsoft. Responsibilities Responsible for the customer support experience with Microsoft Own, troubleshoot and solve customer technical issues, using collaboration, troubleshooting best practices and transparency within and across teams (e.g. swarming) Identify cases that require escalation (either technically or strategically) Create and maintain incident management requests to product group/engineering group Contribute to case deflection initiatives, automation and other digital self-help assets to improve customer/ engineer experience Provide ramp activities, knowledge sharing, technical coaching and mentoring Drive technical collaboration & engagement outside of CSS (Product Engineering teams/Services/Support/Regions) Lead or participate in building communities with peer delivery roles; may be workload or specialty specific Qualifications We are looking for talents that: Possess deep technical expertise and can solve complex technical problems through sound, creative troubleshooting. Demonstrate critical thinking, strong communication skills and ability to develop strategic on going customer relationships. Enjoy team work, and actively contribute to their peer group as well as our customer account teams. Experience And Skills Required Experience in working with Microsoft customers for at least 4 years, accurate and logical problem solving, and communication skills, plus the ability to work in a team environment. Proven experience on Windows Systems troubleshooting (minimum 4 years), mandatory on: Active Directory Certificates & PKI Enterprise State Roaming FRS and DFSR Group Policy Security & Authentication Slow Logon User Profiles Proven experience in creating support documentation and sharing knowledge with others through training delivery and mentoring. Passing the MCP Windows Internals test is a plus - Windows Internals (70-660) Current Microsoft IT Certification preferred (Ex. MCSE, MCSA, MCSD, MCTS) Ability to work in shifts and cover 24 x 7 support based on a rotation scheme with your peers. Language requirements: English We welcome applications from all potential & passionate professionals who really want to pursue their technical career with customer interaction in the world of Support Engineering. Ability to meet Microsoft, customer and / or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire / transfer and every two years thereafter. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.",Pay range unavailable,https://www.linkedin.com/jobs/view/2707833317
264,Internal Audit Executive,noon,"Cairo, Egypt",3 days ago,"
Full-time "," Mid-Senior level
","
5,001-10,000 employees "," Retail
","About the job Reports to Assistant Manager, Internal Audit Office Location: Smart Village, Cairo / Egypt About noon noon.com is a technology leader with a simple mission: to be the best place to buy and sell things. In doing this we hope to accelerate the digital economy of the Middle East, empowering regional talent and businesses to meet the full range of consumers' online needs. noon operates without boundaries; we are aggressively and voraciously ambitious. Starting in 2017 with noon.com, the region’s homegrown e-commerce platform and leading online shopping destination, noon is now a digital ecosystem of products and services - noon, noon Daily, noon Food, NowNow, SIVVI, noon VIP, and noon Pay. We are creating the Middle East’s local digital champion and are looking for world-class talent to join our team. Who will excel? We’re looking for candidates who thrive in a fast-paced, dynamic start-up environment. We’re searching for problem solvers, people who operate with a bias for action and have a deep understanding of the importance of resourcefulness over reliance. Candor is our only default. Demanding unequivocal high standards should be non-negotiable because quality matters. We want people who are radically candid, cohorts who commit to settling for nothing but the best - in hiring, in accepting work from colleagues, and in your own work. Ours is not an easy mission, but it is a meaningful one. Every hire must actively raise the bar of talent in the company to help us reach our vision. Is this you? Key Responsibilities : 1. Taking responsibility for leading Internal Audit, Compliance & Standard Operating Procedures, including business process improvements 2. Building new processes, improving existing processes across noon retail, and implementing the changes by providing adequate training. 3. Working on audit reports made by the third-party internal auditor and by noon central audit team. Getting the recommendations implemented across noon retail within the stipulated timelines. Qualifications Required: Bachelor’s Degree with majors in Finance, Accounting, Business or Economics MBA / CIA / Chartered Accountant or equivalent is preferred 3-4 years of experience They need to demonstrate specialization in select solutions such as internal audit, enterprise risk management, compliance, corporate governance, and policy and procedures development Strong excel skills and working knowledge of BigQuery. Arabic is a must",Pay range unavailable,https://www.linkedin.com/jobs/view/2713075133
265,Application Management Service Delivery Consultant,DXC Technology,"Cairo, Cairo, Egypt",3 days ago,"
Full-time "," Associate
","
10,001+ employees "," Information Technology & Services
","About the job Undertakes the service management activities and minor enhancement involved in the ongoing delivery of Application Management . Provides application lifecycle technical expertise for the support, monitoring, troubleshooting, change and enhancement of packaged (e.g. SAP, Oracle) or custom applications (e.g. Java, .NET and Mainframe) in accordance with contractual terms and conditions and established technical standards such as CMMI and ISO. Provides technical input, and delivery model solutions/recommendations to Application Management Services deal pursuit. Engages in and provides support for transition/transformation efforts. Undertakes the full range of Service Management functions required to ensure service delivery compliance to budget, quality standards and committed service levels on an on-going basis following operational policies and processes that are compliant with industry standards, such as ISO, and best practices such as Information Technology Infrastructure Library (ITIL). Manages the technical/service relationships: between the company and the customer, between the company and subcontractors/vendors, or among various company internal organizations. Works with the key customers, and/or internal businesses/end user representatives (e.g., Account Executive and the Account Delivery Manager) to retain customers and build the business. The company Application Management employees are supported by Service Desk function when they work directly with application end-users on application incidents. Provides input to and/or manages service improvement programs regarding customer satisfaction and service delivery. Employees using this job family should be working in Applications Management not ITO or hardware support. Responsibilities Technical Knowledge: Apply advanced technical and business knowledge (e.g. SAP, Java, .NET) to solve application issues that are critical or high-risk. Independently integrate technical knowledge and business understanding to create superior solutions for the company and for customers. Incident Management: Resolve single- and cross technology/application incidents independently. Document known errors and work arounds Works with team members, delivery centers, and other company organizations to resolve unusually complex or cross-technology incidents. Escalation Management: identify, manage, and lead escalations via established processes. Problem Management: Proactively and reactively look for solutions to prevent problems from occurring in team/technology area. Change Management/Implementation: Independently review, implement, and verify changes/solutions of high complexity and risk to meet customer needs. May lead or participate in a Change Advisory Board. Configuration Management: Oversee configuration management processes, resolve issues, and implement processes to improve efficiencies. Solution Design: Apply the company solutions to meet highly complex customer needs. The solution may include service delivery models for new services. Quality: May provide feedback/influence change in internal and/or vendor-providedproducts/service offerings. Project Management: Participate, propose, and/or lead customer and internal projects across technology customers and/or internal businesses/end users' areas, including transformation. Customer Relationship Management: Influence with customers and/or internal businesses/end users regarding operational details, solutions, and proposals. Becoming a trusted advisor to the customer. Provides training to end users on applications in area of responsibility. Understands and manages to contract scope. Teamwork: Work as part of a global, and/or multi-functional team. Lead teams which address operational processes and policies in work area. Seen as a resource and may mentor less experienced team members within the team in one or more technical- /operational policies/standards or business areas. Is a trusted advisor inside and outside the team/technology area. Contract Knowledge: Demonstrates comprehensive understanding of contract obligations across business area. Provides guidance to others to meet contract obligations. Mentor less-experienced team members on all areas of Applications Management work. Capacity and Performance Ensures that the Capacity Management process and working practices are effective and efficient. Evaluates the impact of proposed changes on the capacity design and plan. Business Continuity Responsible for activities involving damage assessment, co- ordination with other recoveryteams, deciding on recovery steps to take, maintaining records, and providing recovery status reports. Education And Experience Required Bachelor's degree in Computer Science, IT Service Management, Engineering, Business, or related field or equivalent work experience. May have Master's degree in related field. Often holds entry-level certification(s) in work field. May hold intermediate-level certification(s) in work field. Typically 5+ years of relevant experience. Knowledge And Skills Typical skills include: (strong) understanding of applications technology in direct responsibility. ITIL Intermediate level Certified. Knowledge of ISO20000. (developing) understanding of other technology sub-areas. General understanding of related technologies. (strong) Customer Service General Project Management. (developing) Influencing Others. (developing) Customer/Vendor Management. (developing) Business Analysis. (developing) General Financial Management. Strong communications skills; good presentation skills. Client-facing interpersonal skills. Able to lead Applications Management delivery.",Pay range unavailable,https://www.linkedin.com/jobs/view/2707833150
266,Human Resources Consultant,,"Alexandria, Egypt",3 days ago,"
Full-time
",,,,About the job ماجستير قانون جامعة الاسكندرية,Pay range unavailable,https://www.linkedin.com/jobs/view/2709549506
267,Senior Property Consultant,Concept Property,"Qesm El Sheikh Zaid, Al Jizah, Egypt",3 days ago,"
Full-time
",,"
11-50 employees
",,"About the job Real-Estate Senior Sales Agent Is Needed for a well known Real-Estate Company located in Zayed Requirements: - • Experience 2 : 5 in real estate field is a must • Education level Bachelor degree at least. • Excellent communication skills. • presentable • Ability to achieve monthly target • Sheikh Zayed, 6th of October and around residences are preferred. Benefits:- • Friday and Saturday off • working hours 10-6 Main Duties : Establish relationships with new customers • Maintain and grow relationships with existing customers • Strive to improve customer satisfaction through excellent customer service • Identify and respond to client needs • Keep a high level of knowledge about existing products and services, and learn about new products and services as they come in • Follow up on customer orders as necessary • Anticipate the needs of clients and address them accordingly • Meet with customers to determine their specific needs and wants, making suggestions as appropriate.",Pay range unavailable,https://www.linkedin.com/jobs/view/2707829748
268,Telesales Representative,Engosoft Middle East for training and recruitment,"Qesm 1st Nasser City, Cairo, Egypt",3 days ago,"
Full-time
",,"
51-200 employees
",,About the job *Responsibilities:- - Contact potential or existing customers to inform them about a service using scripts. - Answer questions about products or the company. - Ask questions to understand customer requirements and close sales. - Enter and update customer information in the database (CRM). - Take and process orders in an accurate manner. - Address any questions or issues customers may have. - Keep records of calls and sales and note useful information. *Requirements:- - Bachelor's degree. - Proven experience as telesales representative or other sales role. - Ability to learn about products and services and describe/explain them to prospects. - Good knowledge of English. - Excellent communication and interpersonal skills. - Excellent negotiation skills.,Pay range unavailable,https://www.linkedin.com/jobs/view/2709545639
269,Sales Agent,AROPE Life Insurance,"Alexandria, Alexandria, Egypt",3 days ago,"
Full-time
",,"
51-200 employees
",,About the job ■تعلن شركة آروب للتأمين □مجموعة بنك بلوم مصر فتح باب التقديم للوظائف التاليه : ١-مخطط مالي مبيعات خارجيه (outdoor) المهام الوظيفيه: ١- مقابله العملاء و التواصل لحلول تأمينيه و استثماريه لهم ¤¤ المميزات • تأمين طبى • التسجيل فى الهيئه العامه للرقابه الماليه • تدريب مدفوع الآجر • عمولات ربع سنويه ونص سنويه وسنويه تصل إلى 40٪ ¤¤ المتطلبات • متاح ذكور وإناث • فئة المتقدم من الكليات العليا • سن من ٢١ الى ٣٥ سنه • غير متاح للطلاب ¤¤ مكان العمل • العمل بفرع جرين بلازا ( الاسكندريه ) #Arope_insurance_EGYPT #Blom_Bank_group #Salse_outdoor #Salse_insurance #اروب_للتأمين_مصر #مجموعة_بنك_بلوم #مبيعات_مباشره_خارجية #مبيعات_تأمين,Pay range unavailable,https://www.linkedin.com/jobs/view/2707831136
270,Senior Front-End Developer,Solarus Smart Solutions,"Cairo, Egypt",3 days ago,"
Full-time
",,"
11-50 employees
",,"About the job • We are looking for an experienced Senior Front-End Developer (Angular) to join our team (for immediate hiring). Essential Tasks are done by: • HTML5, CSS3, JavaScript. • Angular 8+, TypeScript , RxJS. • SEO, webpack, Performance optimization. • SSR and CSR deployments. • consume REST API, JSON LD, and hypermedia. Main Responsibilities: • Designs modify, develops, writes, and implements software programming applications • Debug, Test, Deploy, and Maintain applications. • Act as an expert on applications and provide technical support. • Developing technical specifications. • Solve problems. please send your CV to ahmed.mohamady@solarus-egypt.com",Pay range unavailable,https://www.linkedin.com/jobs/view/2707824886
